row_index,datetime,contract,option_type,strike,final_prediction,edge,edge_reason,source,selected_model,bandwidth,loo_mse,n_train,used_cols,edge_side,edge_block_size,edge_position_in_block
0,07-01-2026 09:15,NIFTY27JAN2625500CE,CE,25500,0.11345022754153873,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.00015,8.611704640110834e-07,12,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625900CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
0,07-01-2026 09:15,NIFTY27JAN2625800CE,CE,25800,0.10173143632287242,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.00015,8.611704640110834e-07,12,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625900CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
0,07-01-2026 09:15,NIFTY27JAN2624100PE,PE,24100,0.1627995431070669,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,4.0502886321604753e-07,13,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624000PE|NIFTY27JAN2624200PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625000PE|NIFTY27JAN2625100PE,,,
1,07-01-2026 09:20,NIFTY27JAN2625300CE,CE,25300,0.09801743138499246,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.00015,0.00022810939253764263,10,NIFTY27JAN2625200CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
1,07-01-2026 09:20,NIFTY27JAN2625400CE,CE,25400,0.10552646864529164,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.00015,0.00022810939253764263,10,NIFTY27JAN2625200CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
1,07-01-2026 09:20,NIFTY27JAN2625800CE,CE,25800,0.10825250897086505,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.00015,0.00022810939253764263,10,NIFTY27JAN2625200CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
1,07-01-2026 09:20,NIFTY27JAN2625900CE,CE,25900,0.10426923316048552,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.00015,0.00022810939253764263,10,NIFTY27JAN2625200CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
1,07-01-2026 09:20,NIFTY27JAN2624000PE,PE,24000,0.16995773139649203,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0001,5.88042086667945e-07,10,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624100PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624900PE|NIFTY27JAN2625100PE,,,
1,07-01-2026 09:20,NIFTY27JAN2624200PE,PE,24200,0.1592388046310147,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0001,5.88042086667945e-07,10,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624100PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624900PE|NIFTY27JAN2625100PE,,,
1,07-01-2026 09:20,NIFTY27JAN2624800PE,PE,24800,0.12816132735184058,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0001,5.88042086667945e-07,10,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624100PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624900PE|NIFTY27JAN2625100PE,,,
1,07-01-2026 09:20,NIFTY27JAN2625000PE,PE,25000,0.11850589552837447,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0001,5.88042086667945e-07,10,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624100PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624900PE|NIFTY27JAN2625100PE,,,
2,07-01-2026 09:25,NIFTY27JAN2625300CE,CE,25300,0.09427587222034658,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0001,2.728571443963952e-06,12,NIFTY27JAN2625200CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2625900CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE,,,
2,07-01-2026 09:25,NIFTY27JAN2626500CE,CE,26500,0.08452786305671434,True,edge_no_right_observed,edge_claude_progressive_local_poly_wls,edge_claude_progressive_local_poly_wls,0.0002,2.0698751553721546e-06,12,NIFTY27JAN2625200CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2625900CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE,right,1.0,0.0
